tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
midgard_s1_A	midgard	1	A	OPP	opp_bb2	Core destroyed	365	0	490	610
midgard_s1_B	midgard	1	B	US	v542_538off	Core destroyed	268	0	2030	1580
midgard_s2_A	midgard	2	A	OPP	opp_bb2	Core destroyed	365	0	490	610
midgard_s2_B	midgard	2	B	US	v542_538off	Core destroyed	268	0	2030	1580
midgard_s3_A	midgard	3	A	OPP	opp_bb2	Core destroyed	365	0	490	610
midgard_s3_B	midgard	3	B	US	v542_538off	Core destroyed	268	0	2030	1580
glacierkeep_s1_A	glacierkeep	1	A	US	v542_538off	Core destroyed	121	0	200	0
glacierkeep_s1_B	glacierkeep	1	B	OPP	opp_bb2	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s2_A	glacierkeep	2	A	US	v542_538off	Core destroyed	121	0	200	0
glacierkeep_s2_B	glacierkeep	2	B	OPP	opp_bb2	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s3_A	glacierkeep	3	A	US	v542_538off	Core destroyed	121	0	200	0
glacierkeep_s3_B	glacierkeep	3	B	OPP	opp_bb2	Harvesters (tiebreak)	1000	0	0	0
icefloe_s1_A	icefloe	1	A	US	v542_538off	Core destroyed	164	0	490	0
icefloe_s1_B	icefloe	1	B	US	v542_538off	Core destroyed	177	0	1450	0
icefloe_s2_A	icefloe	2	A	US	v542_538off	Core destroyed	164	0	490	0
icefloe_s2_B	icefloe	2	B	US	v542_538off	Core destroyed	177	0	1450	0
icefloe_s3_A	icefloe	3	A	US	v542_538off	Core destroyed	164	0	490	0
icefloe_s3_B	icefloe	3	B	US	v542_538off	Core destroyed	163	0	1430	0
valkyrie_s1_A	valkyrie	1	A	US	v542_538off	Core destroyed	485	0	4340	1090
valkyrie_s1_B	valkyrie	1	B	OPP	opp_bb2	Core destroyed	373	0	390	2210
valkyrie_s2_A	valkyrie	2	A	US	v542_538off	Core destroyed	485	0	4340	1090
valkyrie_s2_B	valkyrie	2	B	OPP	opp_bb2	Core destroyed	373	0	390	2210
valkyrie_s3_A	valkyrie	3	A	US	v542_538off	Core destroyed	485	0	4340	1090
valkyrie_s3_B	valkyrie	3	B	OPP	opp_bb2	Core destroyed	373	0	390	2210
auroraveil_s1_A	auroraveil	1	A	US	v542_538off	Core destroyed	658	0	1600	0
auroraveil_s1_B	auroraveil	1	B	US	v542_538off	Core destroyed	320	0	850	0
auroraveil_s2_A	auroraveil	2	A	US	v542_538off	Core destroyed	658	0	1600	0
auroraveil_s2_B	auroraveil	2	B	US	v542_538off	Core destroyed	320	0	850	0
auroraveil_s3_A	auroraveil	3	A	US	v542_538off	Core destroyed	658	0	1600	0
auroraveil_s3_B	auroraveil	3	B	US	v542_538off	Core destroyed	320	0	850	0
