tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930600_A	auroraveil	930600	A	US	ctrl_dup	Core destroyed	178	0	710	150
auroraveil_s930600_B	auroraveil	930600	B	OPP	_v542wave	Core destroyed	312	0	310	830
auroraveil_s930601_A	auroraveil	930601	A	OPP	_v542wave	Core destroyed	750	0	1860	3070
auroraveil_s930601_B	auroraveil	930601	B	OPP	_v542wave	Core destroyed	319	0	0	1030
auroraveil_s930602_A	auroraveil	930602	A	OPP	_v542wave	Core destroyed	461	0	1110	3340
auroraveil_s930602_B	auroraveil	930602	B	OPP	_v542wave	Core destroyed	319	0	0	1030
bifrost_s930600_A	bifrost	930600	A	OPP	_v542wave	Core destroyed	158	0	370	640
bifrost_s930600_B	bifrost	930600	B	US	ctrl_dup	Core destroyed	237	0	360	470
bifrost_s930601_A	bifrost	930601	A	OPP	_v542wave	Core destroyed	227	0	540	1060
bifrost_s930601_B	bifrost	930601	B	US	ctrl_dup	Core destroyed	268	0	600	890
bifrost_s930602_A	bifrost	930602	A	US	ctrl_dup	Core destroyed	378	0	1020	1060
bifrost_s930602_B	bifrost	930602	B	OPP	_v542wave	Core destroyed	172	0	250	810
fimbulwinter_s930600_A	fimbulwinter	930600	A	US	ctrl_dup	Core destroyed	130	0	560	300
fimbulwinter_s930600_B	fimbulwinter	930600	B	US	ctrl_dup	Core destroyed	151	0	700	380
fimbulwinter_s930601_A	fimbulwinter	930601	A	US	ctrl_dup	Core destroyed	170	0	760	750
fimbulwinter_s930601_B	fimbulwinter	930601	B	US	ctrl_dup	Core destroyed	151	0	700	380
fimbulwinter_s930602_A	fimbulwinter	930602	A	US	ctrl_dup	Core destroyed	180	0	630	190
fimbulwinter_s930602_B	fimbulwinter	930602	B	OPP	_v542wave	Core destroyed	116	0	520	500
glacierkeep_s930600_A	glacierkeep	930600	A	US	ctrl_dup	Core destroyed	201	0	500	0
glacierkeep_s930600_B	glacierkeep	930600	B	OPP	_v542wave	Core destroyed	191	0	0	480
glacierkeep_s930601_A	glacierkeep	930601	A	US	ctrl_dup	Core destroyed	201	0	500	0
glacierkeep_s930601_B	glacierkeep	930601	B	OPP	_v542wave	Core destroyed	191	0	0	480
glacierkeep_s930602_A	glacierkeep	930602	A	US	ctrl_dup	Core destroyed	201	0	500	0
