tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s21_A	auroraveil	21	A	US	ref_no538	Core destroyed	175	0	580	0
auroraveil_s21_B	auroraveil	21	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	10430	11410
auroraveil_s22_A	auroraveil	22	A	US	ref_no538	Core destroyed	175	0	580	0
auroraveil_s22_B	auroraveil	22	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	10430	11410
bifrost_s21_A	bifrost	21	A	OPP	opp_mjol	Core destroyed	372	0	930	990
bifrost_s21_B	bifrost	21	B	US	ref_no538	Titanium collected (tiebreak)	1000	0	3860	940
bifrost_s22_A	bifrost	22	A	OPP	opp_mjol	Core destroyed	372	0	930	990
bifrost_s22_B	bifrost	22	B	US	ref_no538	Titanium collected (tiebreak)	1000	0	3860	940
fimbulwinter_s21_A	fimbulwinter	21	A	OPP	opp_mjol	Core destroyed	277	0	670	150
fimbulwinter_s21_B	fimbulwinter	21	B	US	ref_no538	Core destroyed	287	0	1270	0
fimbulwinter_s22_A	fimbulwinter	22	A	OPP	opp_mjol	Core destroyed	277	0	670	150
fimbulwinter_s22_B	fimbulwinter	22	B	US	ref_no538	Core destroyed	287	0	1270	0
glacierkeep_s21_A	glacierkeep	21	A	US	ref_no538	Core destroyed	569	0	0	690
glacierkeep_s21_B	glacierkeep	21	B	US	ref_no538	Core destroyed	420	0	570	350
glacierkeep_s22_A	glacierkeep	22	A	US	ref_no538	Core destroyed	569	0	0	690
glacierkeep_s22_B	glacierkeep	22	B	US	ref_no538	Core destroyed	420	0	570	350
helheim_s21_A	helheim	21	A	US	ref_no538	Core destroyed	289	0	810	70
helheim_s21_B	helheim	21	B	OPP	opp_mjol	Core destroyed	297	0	220	960
helheim_s22_A	helheim	22	A	US	ref_no538	Core destroyed	289	0	810	70
helheim_s22_B	helheim	22	B	OPP	opp_mjol	Core destroyed	297	0	220	960
holmgang_s21_A	holmgang	21	A	US	ref_no538	Core destroyed	102	0	560	0
holmgang_s21_B	holmgang	21	B	US	ref_no538	Core destroyed	302	0	1460	330
holmgang_s22_A	holmgang	22	A	US	ref_no538	Core destroyed	102	0	550	0
holmgang_s22_B	holmgang	22	B	US	ref_no538	Core destroyed	302	0	1460	330
icefloe_s21_A	icefloe	21	A	OPP	opp_mjol	Core destroyed	294	0	0	2080
icefloe_s21_B	icefloe	21	B	US	ref_no538	Core destroyed	449	0	1420	0
icefloe_s22_A	icefloe	22	A	OPP	opp_mjol	Core destroyed	294	0	0	2080
icefloe_s22_B	icefloe	22	B	US	ref_no538	Core destroyed	449	0	1420	0
jotunheim_s21_A	jotunheim	21	A	OPP	opp_mjol	Core destroyed	814	0	620	570
jotunheim_s21_B	jotunheim	21	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	0	3610
jotunheim_s22_A	jotunheim	22	A	OPP	opp_mjol	Core destroyed	814	0	620	570
jotunheim_s22_B	jotunheim	22	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	0	3610
longhouse_s21_A	longhouse	21	A	US	ref_no538	Core destroyed	217	0	1010	280
longhouse_s21_B	longhouse	21	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	2460	9390
longhouse_s22_A	longhouse	22	A	US	ref_no538	Core destroyed	217	0	1010	280
