tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s904000_A	auroraveil	904000	A	US	_v622nestfall	Core destroyed	241	0	770	420
auroraveil_s904000_B	auroraveil	904000	B	OPP	_v542wave	Core destroyed	319	0	0	1030
auroraveil_s904001_A	auroraveil	904001	A	OPP	_v542wave	Core destroyed	461	0	1110	3340
auroraveil_s904001_B	auroraveil	904001	B	OPP	_v542wave	Core destroyed	171	0	120	530
auroraveil_s904002_A	auroraveil	904002	A	US	_v622nestfall	Core destroyed	210	0	480	230
auroraveil_s904002_B	auroraveil	904002	B	OPP	_v542wave	Core destroyed	260	0	0	1650
bifrost_s904000_A	bifrost	904000	A	OPP	_v542wave	Core destroyed	150	0	350	690
bifrost_s904000_B	bifrost	904000	B	OPP	_v542wave	Core destroyed	342	0	80	1640
bifrost_s904001_A	bifrost	904001	A	OPP	_v542wave	Core destroyed	208	0	490	680
bifrost_s904001_B	bifrost	904001	B	US	_v622nestfall	Core destroyed	294	0	1240	1420
bifrost_s904002_A	bifrost	904002	A	OPP	_v542wave	Core destroyed	378	0	1030	1800
bifrost_s904002_B	bifrost	904002	B	US	_v622nestfall	Core destroyed	425	0	1660	2060
fimbulwinter_s904000_A	fimbulwinter	904000	A	US	_v622nestfall	Core destroyed	210	0	960	440
fimbulwinter_s904000_B	fimbulwinter	904000	B	OPP	_v542wave	Core destroyed	116	0	520	500
fimbulwinter_s904001_A	fimbulwinter	904001	A	US	_v622nestfall	Core destroyed	270	0	1260	620
fimbulwinter_s904001_B	fimbulwinter	904001	B	US	_v622nestfall	Core destroyed	167	0	780	740
fimbulwinter_s904002_A	fimbulwinter	904002	A	US	_v622nestfall	Core destroyed	270	0	1260	620
fimbulwinter_s904002_B	fimbulwinter	904002	B	US	_v622nestfall	Core destroyed	117	0	520	270
glacierkeep_s904000_A	glacierkeep	904000	A	US	_v622nestfall	Core destroyed	201	0	500	0
glacierkeep_s904000_B	glacierkeep	904000	B	OPP	_v542wave	Core destroyed	176	0	0	580
glacierkeep_s904001_A	glacierkeep	904001	A	US	_v622nestfall	Core destroyed	201	0	500	0
glacierkeep_s904001_B	glacierkeep	904001	B	OPP	_v542wave	Core destroyed	176	0	0	580
glacierkeep_s904002_A	glacierkeep	904002	A	US	_v622nestfall	Core destroyed	201	0	500	0
glacierkeep_s904002_B	glacierkeep	904002	B	OPP	_v542wave	Core destroyed	191	0	0	480
helheim_s904000_A	helheim	904000	A	OPP	_v542wave	Core destroyed	335	0	590	1250
helheim_s904000_B	helheim	904000	B	OPP	_v542wave	Core destroyed	595	0	170	230
helheim_s904001_A	helheim	904001	A	OPP	_v542wave	Core destroyed	157	0	380	370
helheim_s904001_B	helheim	904001	B	OPP	_v542wave	Core destroyed	320	0	1440	1560
helheim_s904002_A	helheim	904002	A	OPP	_v542wave	Core destroyed	127	0	300	600
helheim_s904002_B	helheim	904002	B	OPP	_v542wave	Core destroyed	595	0	170	230
holmgang_s904000_A	holmgang	904000	A	OPP	_v542wave	Core destroyed	181	0	0	710
holmgang_s904000_B	holmgang	904000	B	OPP	_v542wave	Core destroyed	588	0	1000	2450
holmgang_s904001_A	holmgang	904001	A	OPP	_v542wave	Core destroyed	140	0	0	320
holmgang_s904001_B	holmgang	904001	B	OPP	_v542wave	Core destroyed	313	0	660	1730
holmgang_s904002_A	holmgang	904002	A	OPP	_v542wave	Core destroyed	474	0	70	1270
holmgang_s904002_B	holmgang	904002	B	OPP	_v542wave	Core destroyed	190	0	860	860
icefloe_s904000_A	icefloe	904000	A	US	_v622nestfall	Core destroyed	137	0	460	220
icefloe_s904000_B	icefloe	904000	B	OPP	_v542wave	Core destroyed	529	0	0	4590
icefloe_s904001_A	icefloe	904001	A	US	_v622nestfall	Core destroyed	137	0	460	220
icefloe_s904001_B	icefloe	904001	B	OPP	_v542wave	Core destroyed	529	0	0	4590
icefloe_s904002_A	icefloe	904002	A	US	_v622nestfall	Core destroyed	137	0	460	220
icefloe_s904002_B	icefloe	904002	B	OPP	_v542wave	Core destroyed	274	0	130	2350
jotunheim_s904000_A	jotunheim	904000	A	US	_v622nestfall	Core destroyed	265	0	240	0
jotunheim_s904000_B	jotunheim	904000	B	US	_v622nestfall	Core destroyed	500	0	850	40
jotunheim_s904001_A	jotunheim	904001	A	OPP	_v542wave	Core destroyed	550	0	130	400
jotunheim_s904001_B	jotunheim	904001	B	OPP	_v542wave	Core destroyed	173	0	0	0
jotunheim_s904002_A	jotunheim	904002	A	OPP	_v542wave	Core destroyed	405	0	110	0
jotunheim_s904002_B	jotunheim	904002	B	OPP	_v542wave	Core destroyed	225	0	0	30
longhouse_s904000_A	longhouse	904000	A	OPP	_v542wave	Core destroyed	124	0	180	880
longhouse_s904000_B	longhouse	904000	B	US	_v622nestfall	Core destroyed	293	0	60	140
longhouse_s904001_A	longhouse	904001	A	OPP	_v542wave	Core destroyed	131	0	80	730
longhouse_s904001_B	longhouse	904001	B	US	_v622nestfall	Core destroyed	181	0	810	780
longhouse_s904002_A	longhouse	904002	A	OPP	_v542wave	Core destroyed	138	0	200	760
longhouse_s904002_B	longhouse	904002	B	OPP	_v542wave	Core destroyed	197	0	980	1550
midgard_s904000_A	midgard	904000	A	OPP	_v542wave	Core destroyed	96	0	340	910
midgard_s904000_B	midgard	904000	B	OPP	_v542wave	Core destroyed	106	0	360	980
midgard_s904001_A	midgard	904001	A	OPP	_v542wave	Core destroyed	91	0	350	870
midgard_s904001_B	midgard	904001	B	OPP	_v542wave	Core destroyed	108	0	430	930
midgard_s904002_A	midgard	904002	A	OPP	_v542wave	Core destroyed	96	0	340	910
midgard_s904002_B	midgard	904002	B	OPP	_v542wave	Core destroyed	96	0	410	770
paths_s904000_A	paths	904000	A	US	_v622nestfall	Core destroyed	261	0	570	330
paths_s904000_B	paths	904000	B	US	_v622nestfall	Core destroyed	112	0	260	350
paths_s904001_A	paths	904001	A	OPP	_v542wave	Core destroyed	165	0	390	720
paths_s904001_B	paths	904001	B	US	_v622nestfall	Core destroyed	177	0	420	580
paths_s904002_A	paths	904002	A	OPP	_v542wave	Core destroyed	311	0	760	400
paths_s904002_B	paths	904002	B	OPP	_v542wave	Core destroyed	167	0	390	750
skald_s904000_A	skald	904000	A	OPP	_v542wave	Core destroyed	271	0	670	1770
skald_s904000_B	skald	904000	B	OPP	_v542wave	Core destroyed	238	0	640	990
skald_s904001_A	skald	904001	A	OPP	_v542wave	Core destroyed	130	0	350	590
skald_s904001_B	skald	904001	B	US	_v622nestfall	Core destroyed	221	0	760	580
skald_s904002_A	skald	904002	A	US	_v622nestfall	Core destroyed	136	0	770	570
skald_s904002_B	skald	904002	B	US	_v622nestfall	Core destroyed	117	0	540	720
